station,latitude,longitude,river,RPI,DO(Electrode),BOD5,SS,NH3-N,pH,temperature,RPI_unit,DO(Electrode)_unit,BOD5_unit,SS_unit,NH3-N_unit,pH_unit,temperature_unit
USGS-02381090,34.70338889,-84.5395278,"MOUNTAINTOWN CREEK AT GA 282, NEAR ELLIJAY, GA",,,,,,7.0,8.3,,,,,,std units,deg C
USGS-02384750,34.78341357,-84.8729975,"CONASAUGA RIVER AT US 76, NEAR DALTON, GA",,,,6.8,,7.5,9.7,,,,mg/l,,std units,deg C
USGS-02387000,34.66691667,-84.9279167,"CONASAUGA RIVER AT TILTON, GA",,,,11,,7.6,9.1,,,,mg/l,,std units,deg C
USGS-02388520,34.2692599,-85.1727284,"OOSTANAULA RIVER AT ROME, GA",,,,38,,7.4,10.2,,,,mg/l,,std units,deg C
USGS-02392000,34.24019444,-84.4945278,"ETOWAH RIVER AT CANTON, GA",,,,15,1.6,7.1,7.6,,,,mg/l,mg/l,std units,deg C
USGS-02392360,34.2633333,-84.5954444,"SHOAL CREEK AT GA 108, NEAR WALESKA, GA",,,,3.4,0.40,7.1,7.7,,,,mg/l,mg/l,std units,deg C
USGS-02392780,34.1225,-84.5045833,"LITTLE RIVER AT GA 5, NEAR WOODSTOCK, GA",,,,25,1.1,7.1,9.1,,,,mg/l,mg/l,std units,deg C
USGS-02393000,34.08593209,-84.52965369,"NOONDAY CREEK AT GA 92, NEAR WOODSTOCK, GA",,,,9.2,2.3,7.2,9.4,,,,mg/l,mg/l,std units,deg C
USGS-02394682,34.0789722,-84.8544444,"RICHLAND CREEK AT OLD DALLAS RD, NEAR DALLAS, GA",,,,,0.51,7.3,11.2,,,,,mg/l,std units,deg C
USGS-02394980,34.18898489,-84.9252203,"ETOWAH RIVER AT HARDIN BRIDGE RD, NR EUHARLEE, GA",,,,8.4,1.0,7.7,13.9,,,,mg/l,mg/l,std units,deg C
USGS-02397530,34.20194444,-85.45325,"COOSA RIVER AT STATE LINE, AL/GA",,,,25,,7.2,10.4,,,,mg/l,,std units,deg C
USGS-02398037,34.3356461,-85.44523639,"CHATTOOGA RIVER AT CHATTOOGAVILLE, GA",,,,17,,7.8,13.6,,,,mg/l,,std units,deg C
USGS-02413210,33.49269444,-85.2793056,"LITTLE TALLAPOOSA R AT GA 100, NEAR BOWDON, GA",,,,13,0.78,7.0,9.8,,,,mg/l,mg/l,std units,deg C
USGS-03567340,34.95755556,-85.2052778,"WEST CHICKAMAUGA CR AT GA 146, NEAR LAKEVIEW, GA",,,,9.8,,7.9,11.2,,,,mg/l,,std units,deg C
USGS-331805082010901,33.30119444,-82.0195,29AA06,,,,,,5.2,20.1,,,,,,std units,deg C
USGS-332059081594001,33.34969444,-81.99463889,30AA26,,,,,,5.2,19.8,,,,,,std units,deg C
USGS-332137081581301,33.3608333,-81.96988889,30AA11,,,,,,5.2,21.0,,,,,,std units,deg C
USGS-332141081583601,33.36175,-81.9763333,30AA10,,,,,,5.3,19.5,,,,,,std units,deg C
USGS-332141081591901,33.36205556,-81.9879444,30AA19,,,,,,5.6,20.3,,,,,,std units,deg C
USGS-332146081582201,33.36294444,-81.9725833,30AA09,,,,,,5.2,19.5,,,,,,std units,deg C
USGS-332146081590601,33.36275,-81.9831694,30AA18,,,,,,5.0,20.3,,,,,,std units,deg C
USGS-332159081582501,33.3665833,-81.9733611,30AA08,,,,,,5.2,21.2,,,,,,std units,deg C
USGS-332215081575201,33.3708611,-81.9643611,30AA33,,,,,,5.2,20.9,,,,,,std units,deg C
USGS-332216081583601,33.3715,-81.9763611,30AA06,,,,,,5.0,20.1,,,,,,std units,deg C
USGS-332221081584601,33.37255556,-81.9795278,30AA37,,,,,,5.4,20.2,,,,,,std units,deg C
USGS-332221081584602,33.37252778,-81.9795278,30AA38,,,,,,5.0,19.4,,,,,,std units,deg C
USGS-16226200,21.382,-157.9033333,"N. Halawa Str nr Honolulu, Oahu, HI",,,,334,,,,,,,mg/l,,,
USGS-16226400,21.37188889,-157.9127222,"N. Halawa Str nr Quar. Stn. at Halawa, Oahu, HI",,,,95,,,,,,,%,,,
USGS-16238000,21.29663889,-157.83675,"Makiki Stream at King St. bridge, Oahu, HI",,,,351,5.6,,,,,,mg/l,mg/l,,
USGS-16238500,21.3283611,-157.800861,"Waihi Stream at Honolulu, Oahu, HI",,,,33,,,,,,,%,,,
USGS-16244000,21.30666667,-157.7883333,"Pukele Stream near Honolulu, Oahu, HI",,,,167,,,,,,,mg/l,,,
USGS-16247100,21.28652778,-157.8185556,"Manoa-Palolo Drainage Canal at Moiliili, Oahu, HI",,,,77,20,,,,,,%,mg/l,,
USGS-16247150,21.30872222,-157.8304167,"Makiki Stream at Archie Baker Park, Oahu, HI",,,,,,,22.3,,,,,,,deg C
USGS-16249000,21.34997222,-157.7289167,"Waimanalo Str at Waimanalo, Oahu, HI",,,,917,2.2,,10.3,,,,mg/l,mg/l,,deg C
USGS-16265000,21.40575,-157.7905,"Kawa Str at Kaneohe, Oahu, HI",,,,142,1.8,,,,,,mg/l,mg/l,,
USGS-16274100,21.41180556,-157.798111,"Kaneohe Str blw Kamehameha Hwy, Oahu, HI",,,,285,1.3,,,,,,mg/l,mg/l,,
USGS-16415600,21.06997222,-156.9483333,"Kawela Gulch near Moku, Molokai, HI",,,,86,,,,,,,mg/l,,,
USGS-16618000,20.97869444,-156.5545,"Kahakuloa Stream near Honokohau, Maui, HI",,,,,,7.5,20.3,,,,,,std units,deg C
USGS-212034157530501,21.34277778,-157.8847222,"3-2053-13 Ft. Shafter P-2 (W146-3), Oahu, HI",,,,,,,21.2,,,,,,,deg C
USGS-212045157531402,21.3425,-157.8844444,"3-2053-11 Ft. Shafter P-1 (W146-2), Oahu, HI",,,,,,,21.1,,,,,,,deg C
USGS-212117157534601,21.35141667,-157.8933056,"3-2153-08 TAMC P-2 (W154-1B), Oahu, HI",,,,,,,21.3,,,,,,,deg C
USGS-212117157534602,21.35138889,-157.8933333,"3-2153-07 TAMC P-1 (W154-1A), Oahu, HI",,,,,,,21.3,,,,,,,deg C
USGS-212703158110601,21.45094167,-158.1849139,"Kaupuni Stream at Hoopuhi Street, Oahu, HI",,,,,,,31.9,,,,,,,deg C
USGS-212915158013801,21.4875,-158.0272222,"Schofield Battery Composite, Oahu, HI",,,,,,,21.1,,,,,,,deg C
USGS-214037157590801,21.67732222,-157.9857194,"3-4059-01 Kahuku TVWF , Oahu, HI",,,,,,,22.5,,,,,,,deg C
USGS-215247159280901,21.8798,-159.4691194,"Waikomo Stream at Koloa Landing, Kauai, HI",,,,,,,,,,,,,,
USGS-221250159294601,22.21388889,-159.496111,"Hanalei River at Black Pot Beach, Kauai, HI",,,,,,,,,,,,,,
USGS-05420500,41.78058635,-90.252073,"Mississippi River at Clinton, IA",,,,99,2.6,7.9,0.2,,,,%,mg/l,std units,deg C
USGS-05451210,42.31530556,-93.1521944,"South Fork Iowa River NE of New Providence, IA",,,,89,6.9,8.1,0.0,,,,%,mg/l,std units,deg C
USGS-05464420,42.06916389,-91.7851806,"Cedar River at Blairs Ferry Road at Palo, IA",,,,,0.53,8.1,0.1,,,,,mg/l,std units,deg C
USGS-05464475,41.98941597,-91.7595985,"Morgan Creek near Covington, IA",,,,,0.89,7.8,1.0,,,,,mg/l,std units,deg C
USGS-05465500,41.1780861,-91.1820917,"Iowa River at Wapello, IA",,,,6,5.4,8.1,3.2,,,,mg/l,mg/l,std units,deg C
USGS-05474000,40.75365,-91.2770889,"Skunk River at Augusta, IA",,,,34,,,-2.0,,,,mg/l,,,deg C
USGS-05490500,40.72780556,-91.9596139,"Des Moines River at Keosauqua, IA",,,,99,2.5,8.3,4.4,,,,%,mg/l,std units,deg C
USGS-06486000,42.48619444,-96.4130833,"Missouri River at Sioux City, IA",,,,61,,,0.3,,,,mg/l,,,deg C
USGS-06610000,41.25905556,-95.92325,"Missouri River at Omaha, NE",,,,115,1.4,8.5,0.4,,,,mg/l,mg/l,std units,deg C
USGS-06807000,40.68180556,-95.8470833,"Missouri River at Nebraska City, NE",,,,131,,,0.2,,,,mg/l,,,deg C
USGS-06808500,40.87327778,-95.5814444,"West Nishnabotna River at Randolph, IA",,,,,,7.8,2.0,,,,,,std units,deg C
USGS-415954091440401,41.99852778,-91.7345833,2015USGS GPW2,,,,,,7.2,2.4,,,,,,std units,deg C
USGS-420014091442701,42.00388889,-91.7408333,083N08W14A          1996USGS CRM-18,,,,,,7.2,11.5,,,,,,std units,deg C
USGS-420019091442501,42.00527778,-91.7402778,083N08W14AAC        1996USGS CRM-17,,,,,,6.9,9.7,,,,,,std units,deg C
USGS-420019091442502,42.00527778,-91.7402778,083N08W14AAC        1996USGS CRM-16,,,,,,7.1,11.6,,,,,,std units,deg C
USGS-420031091422601,42.00875,-91.7073056,2015USGS GPW4,,,,,,7.2,12.4,,,,,,std units,deg C
USGS-420031091441801,42.0086111,-91.7383333,083N08W11DDC        1996USGS CRM-15,,,,,,6.8,7.4,,,,,,std units,deg C
USGS-420031091443301,42.00877778,-91.7426944,2015USGS GPW1,,,,,,6.8,8.7,,,,,,std units,deg C
USGS-12305000,48.6175,-116.0463889,"KOOTENAI RIVER AT LEONIA, ID",,,,,,7.7,4.9,,,,,,std units,deg C
USGS-12307750,48.7195722,-116.1879444,MOYIE RIVER NR MOUTH NR MOYIE SPRINGS ID,,,,,,7.0,6.1,,,,,,std units,deg C
USGS-12308000,48.70055556,-116.1966667,KOOTENAI RIVER BEL MOYIE RIVER NR BONNERS FERRY ID,,,,68,,,4.6,,,,%,,,deg C
USGS-12310100,48.70527778,-116.3697222,KOOTENAI RIVER  TRIBAL HATCHERY NR BONNERS FERRY,,,,60,,7.7,4.7,,,,%,,std units,deg C
USGS-12322000,48.99638889,-116.5075,KOOTENAI RIVER AT PORTHILL ID,,,,,,8.1,6.9,,,,,,std units,deg C
USGS-12413000,47.5722,-116.2528,NF COEUR D ALENE RIVER AT ENAVILLE ID,,,,100,,7.2,3.4,,,,%,,std units,deg C
USGS-12413040,47.4732641,-115.766547,SF COEUR D ALENE R ABV DEADMAN GULCH NR MULLAN ID,,,,52,0.11,7.0,4.6,,,,%,mg/l,std units,deg C
USGS-12413125,47.4725,-115.9147222,"CANYON CREEK AB MOUTH AT WALLACE, ID",,,,31,,7.1,7.0,,,,%,,std units,deg C
USGS-12413130,47.4749,-115.9227,"NINEMILE CREEK AB MOUTH AT WALLACE, ID",,,,63,,7.1,7.8,,,,%,,std units,deg C
USGS-12413131,47.47518056,-115.9284444,SF COEUR D ALENE R ABV PLACER CR AT WALLACE ID,,,,56,,7.1,6.4,,,,%,,std units,deg C
USGS-12413210,47.53138889,-116.0925,SF COEUR D ALENE AT ELIZABETH PARK NR KELLOGG ID,,,,100,,6.9,3.7,,,,%,,std units,deg C
USGS-12413250,47.54527778,-116.1341667,SF COEUR D ALENE R at Bunker Ave AT KELLOGG ID,,,,,,7.5,4.0,,,,,,std units,deg C
USGS-12413290,47.54380556,-116.1668056,"GOVERNMENT GULCH CRK NR MOUTH AT SMELTERVILLE, ID",,,,41,,6.3,7.6,,,,%,,std units,deg C
USGS-12413300,47.5483333,-116.1752778,SF COEUR D ALENE RIVER AT SMELTERVILLE ID,,,,100,,7.7,5.0,,,,%,,std units,deg C
USGS-12413355,47.5483333,-116.2197222,SF COEUR D ALENE RIVER ABV PINE CR NR PINEHURST ID,,,,50,,7.0,9.4,,,,%,,std units,deg C
USGS-12413445,47.5081222,-116.2418,PINE CREEK BELOW AMY GULCH NEAR PINEHURST ID,,,,25,,7.1,7.9,,,,%,,std units,deg C
USGS-12413470,47.5513111,-116.2362917,"SF Coeur D Alene River nr Pinehurst, ID",,,,41,0.03,7.0,4.5,,,,%,mg/l,std units,deg C
USGS-12413500,47.5548222,-116.3246222,COEUR D ALENE RIVER NR CATALDO ID,,,,87,,7.0,3.9,,,,%,,std units,deg C
USGS-12413810,47.5375,-116.4722222,COEUR D ALENE RIVER AT ROSE LAKE ID,,,,100,,7.6,3.9,,,,%,,std units,deg C
USGS-12413860,47.4786111,-116.7330556,COEUR D ALENE RIVER NR HARRISON ID,,,,44,0.18,6.9,3.8,,,,%,mg/l,std units,deg C
USGS-12415135,47.3522222,-116.6755556,ST JOE RIVER AT RAMSDELL NR ST MARIES ID,,,,100,,6.9,2.3,,,,%,,std units,deg C
USGS-12417610,47.6819444,-116.7975,SPOKANE RIVER BLW LAKE OUTLET AT COEUR D ALENE ID,,,,100,,7.0,3.8,,,,%,,std units,deg C
USGS-13056500,43.8258333,-111.905,HENRYS FORK NR REXBURG ID,,,,33,0.56,7.4,-0.6,,,,%,mg/l,std units,deg C
USGS-13063000,42.81527778,-111.5066667,BLACKFOOT RIVER AB RESERVOIR NR HENRY ID,,,,,,,,,,,,,,
USGS-13092747,42.5625,-114.4947222,ROCK CREEK AB HWY 30/93 XING AT TWIN FALLS ID,,,,30,3.4,8.5,7.4,,,,%,mg/l,std units,deg C
USGS-13093383,42.6518222,-114.6287528,"SNAKE RIVER AT PIGEON COVE NR TWIN FALLS, ID",,,,,3.5,8.7,7.8,,,,,mg/l,std units,deg C
USGS-13093692,42.6643497,-114.6747698,NIAGARA SPRINGS AT DIV NO.2 NR BUHL ID,,,,,,8.4,14.2,,,,,,std units,deg C
USGS-13095175,42.67388889,-114.8091667,BRIGGS SPRING AT HEAD NEAR BUHL ID,,,,,,8.0,14.4,,,,,,std units,deg C
USGS-13132520,43.5158333,-113.0819444,BIG LOST RIVER BL INL DIV NEAR ARCO ID,,,,,,8.0,17.9,,,,,,std units,deg C
USGS-13154500,43.0022222,-115.2025,SNAKE RIVER AT KING HILL ID,,,,54,2.4,8.5,9.8,,,,%,mg/l,std units,deg C
USGS-13203760,43.56572358,-116.1320577,BOISE RIVER AT ECKERT RD NR BOISE ID,,,,87,,8.1,2.2,,,,%,,std units,deg C
USGS-13210007,43.67981667,-116.4932333,BOISE RIVER AT STAR BRIDGE NEAR STAR ID,,,,38,,7.9,6.2,,,,%,,std units,deg C
USGS-13210050,43.6848841,-116.5737442,BOISE RIVER NR MIDDLETON ID,,,,71,,8.3,4.6,,,,%,,std units,deg C
USGS-13210660,43.64621667,-116.552775,TENMILE CREEK AT FRANKLIN ROAD NR NAMPA ID,,,,75,,8.8,5.7,,,,%,,std units,deg C
USGS-13210795,43.647662,-116.5531868,FIVEMILE CREEK AT FRANKLIN ROAD NR NAMPA ID,,,,80,1.1,8.4,8.9,,,,%,mg/l,std units,deg C
USGS-13210815,43.68738395,-116.5904116,FIFTEENMILE CREEK AT MOUTH NR MIDDLETON ID,,,,68,0.42,8.4,7.1,,,,%,mg/l,std units,deg C
USGS-132108247,43.7009948,-116.6231912,MILL SLOUGH BL GRADE DITCH NR MIDDLETON ID,,,,81,0.44,8.0,5.6,,,,%,mg/l,std units,deg C
USGS-13210825,43.69726389,-116.6351972,MILL SLOUGH AT MOUTH NR MIDDLETON ID,,,,88,0.27,7.9,4.9,,,,%,mg/l,std units,deg C
USGS-13210980,43.68321667,-116.6631917,MASON CREEK AT CALDWELL ID,,,,87,0.33,8.3,8.1,,,,%,mg/l,std units,deg C
USGS-13210985,43.6924722,-116.67775,"MASON CREEK AT MOUTH NR CALDWELL, ID",,,,89,,,,,,,%,,,
USGS-13211000,43.68888889,-116.6863889,BOISE RIVER AT HWY 20-26 XING NR CALDWELL ID,,,,,,8.2,4.1,,,,,,std units,deg C
USGS-13211441,43.6697222,-116.693611,"INDIAN CREEK AT SIMPLOT BLVD AT CALDWELL, ID",,,,80,0.22,8.4,10.0,,,,%,mg/l,std units,deg C
USGS-13212550,43.7265495,-116.8043114,CONWAY GULCH AT NOTUS ID,,,,66,,8.2,9.0,,,,%,,std units,deg C
USGS-13213000,43.78166667,-116.9727778,BOISE RIVER NR PARMA ID,,,,77,,8.5,5.3,,,,%,,std units,deg C
USGS-13213030,43.81516145,-117.0204359,BOISE RIVER AT MOUTH NR PARMA ID,,,,,,8.8,6.3,,,,,,std units,deg C
USGS-13213072,43.79960556,-116.975711,SAND RUN GULCH NR PARMA ID,,,,74,0.26,8.3,4.3,,,,%,mg/l,std units,deg C
USGS-132692001,44.23974167,-117.0663806,"SNAKE R AT VAN DUCCI BRIDGE NR WEISER, ID",,,,,,,,,,,,,,
USGS-13289220,44.8454359,-116.8968303,SNAKE RIVER BL BROWNLEE DAM ID-OR STATE LINE,,,,,,,,,,,,,,
USGS-13290450,45.2544444,-116.6969444,SNAKE RIVER AT HELLS CANYON DAM ID-OR STATE LINE,,,,,,,,,,,,,,
USGS-13302005,44.69166667,-114.0469444,PAHSIMEROI RIVER AT ELLIS ID,,,,,,,,,,,,,,
USGS-13337099,46.13005278,-115.9481306,CLEAR CK AT KOOSKIA NATIONAL FISH HATCHERY,,,,68,,,2.0,,,,%,,,deg C
USGS-431755116312500,43.29914444,-116.5234194,"SNAKE RIVER NR RM 448 NR MELBA, ID",,,,,,,,,,,,,,
USGS-432128113092701,43.35777778,-113.1583333,01S 28E 02CDC1               CROSS ROAD,,,,,,8.2,11.9,,,,,,std units,deg C
USGS-432307112583101,43.38514444,-112.975336,01N 30E 29CCB1               USGS 124,,,,,,7.8,13.7,,,,,,std units,deg C
USGS-432336113064201,43.39329167,-113.1126444,01N 29E 30BBD1               USGS 11,,,,,,8.0,12.0,,,,,,std units,deg C
USGS-432659112582602,43.4495722,-112.9748139,02N 29E 35CCC1 USGS 108 PORT1 ZONE1 1171.8FT,,,,,,,,,,,,,,
USGS-432659112582613,43.4495722,-112.9748139,02N 29E 35CCC1 USGS 108 PORT12 ZONE9 808.8FT,,,,,,,,,,,,,,
USGS-432701113025805,43.4507611,-113.0496194,02N 29E 31CDC2 USGS 137A PORT5 ZONE4 747.4FT,,,,,,,,,,,,,,
USGS-432701113025807,43.4507611,-113.0496194,02N 29E 31CDC2 USGS 137A PORT7 ZONE5 661.6FT,,,,,,,,,,,,,,
USGS-432703113001807,43.45085278,-113.0057694,02N 29E 33DCC1 USGS 105 PORT6 ZONE5 1071.6FT,,,,,,,,,,,,,,
USGS-432703113001811,43.45085278,-113.0057694,02N 29E 33DCC1 USGS 105 PORT10 ZONE8 951.6FT,,,,,,,,,,,,,,
USGS-432703113001815,43.45085278,-113.0057694,02N 29E 33DCC1 USGS 105 PORT14 ZONE11 851.2FT,,,,,,,,,,,,,,
USGS-432714112560702,43.45367778,-112.935975,02N 30E 31CBC1 USGS 103 PORT1 ZONE1 1258.0FT,,,,,,,,,,,,,,
USGS-432714112560704,43.45367778,-112.935975,02N 30E 31CBC1 USGS 103 PORT3 ZONE3 1209.7FT,,,,,,,,,,,,,,
USGS-432714112560708,43.45367778,-112.935975,02N 30E 31CBC1 USGS 103 PORT7 ZONE6 1086.8FT,,,,,,,,,,,,,,
USGS-432714112560712,43.45367778,-112.935975,02N 30E 31CBC1 USGS 103 PORT11 ZONE9 992.9FT,,,,,,,,,,,,,,
USGS-432851113001401,43.48077778,-113.0039722,02N 29E 21DCB1   USGS 147,,,,,,8.0,13.1,,,,,,std units,deg C
USGS-432906113025018,43.48509444,-113.0483139,02N 29E 19CAB1 USGS 132 PORT18 ZONE14 765.4FT,,,,,,,,,,,,,,
USGS-432942112532801,43.49491389,-112.8918083,02N 30E 16CCA1               USGS 107,,,,,,7.9,14.9,,,,,,std units,deg C
USGS-432945113023401,43.49563056,-113.0435222,02N 29E 18DCB1               USGS 119,,,,,,9.2,12.8,,,,,,std units,deg C
USGS-433002113021701,43.50055556,-113.0388889,02N 29E 18ADD1               RWMC PROD,,,,,,8.6,5.7,,,,,,std units,deg C
USGS-433005113032801,43.50148056,-113.0596472,02N 28E 13ADD1               USGS 89,,,,,,8.6,13.0,,,,,,std units,deg C
USGS-433013113024201,43.50344444,-113.0461278,02N 29E 18BDA1                USGS 87,,,,,,8.2,13.4,,,,,,std units,deg C
USGS-433021112552501,43.50571389,-112.9244389,02N 30E 18ABB1               USGS 144,,,,,,8.2,11.6,,,,,,std units,deg C
USGS-433036112581810,43.51019167,-112.971875,02N 29E 11CCA2 USGS 131A PORT10 ZONE8 811.8FT,,,,,,,,,,,,,,
USGS-433036112581815,43.51019167,-112.971875,02N 29E 11CCA2 USGS 131A PORT15 ZONE12 616.3FT,,,,,,,,,,,,,,
USGS-433058112572201,43.5160972,-112.9569528,02N 29E 11ADD1               USGS 127,,,,,,8.2,12.1,,,,,,std units,deg C
USGS-433121113115801,43.52226944,-113.2001222,02N 27E 02DDC1               USGS 8,,,,,,7.9,11.5,,,,,,std units,deg C
USGS-433123112530101,43.522925,-112.8843833,02N 30E 04DCC1               SITE 9,,,,,,8.2,13.5,,,,,,std units,deg C
USGS-433204112562001,43.53430556,-112.9395889,02N 29E 01AAC1               CFA 1,,,,,,7.8,12.2,,,,,,std units,deg C
USGS-433216112563301,43.53765,-112.9433222,03N 29E 36DCC2               CFA LF 2-10,,,,,,7.9,12.6,,,,,,std units,deg C
USGS-433217113004903,43.53794167,-113.0145472,03N 29E 33CCC1 MIDDLE 2051 PORT3 ZONE 3 1091.1FT,,,,,,,,,,,,,,
USGS-433217113004909,43.53794167,-113.0145472,03N 29E 33CCC1 MIDDLE 2051 PORT9 ZONE9 749.0FT,,,,,,,,,,,,,,
USGS-433246112571201,43.5460833,-112.9541333,03N 29E 36BCB1               USGS 85,,,,,,8.1,12.2,,,,,,std units,deg C
USGS-433253112545901,43.54790556,-112.9173333,03N 30E 31AAD1               USGS 20,,,,,,8.1,14.2,,,,,,std units,deg C
USGS-433300112583301,43.54993889,-112.9767167,03N 29E 34AAD1               ICPP MON A-166,,,,,,8.1,12.7,,,,,,std units,deg C
USGS-433314112561801,43.55394444,-112.9392444,03N 29E 25DDB1               USGS 113,,,,,,8.4,12.4,,,,,,std units,deg C
USGS-433320112432301,43.55542778,-112.7234028,03N 32E 29DDC1               USGS 2,,,,,,7.9,14.0,,,,,,std units,deg C
USGS-433322112564301,43.55611667,-112.9461778,03N 29E 25CAD1               USGS 38,,,,,,8.4,12.0,,,,,,std units,deg C
USGS-433331112553201,43.5586722,-112.9265722,03N 30E 30ACC1               USGS 116,,,,,,8.2,4.5,,,,,,std units,deg C
USGS-433331112560501,43.55856389,-112.9356028,03N 30E 30BCC1               USGS 111,,,,,,8.8,12.6,,,,,,std units,deg C
USGS-433334112565501,43.5594722,-112.949375,03N 29E 25BDC1               USGS 34,,,,,,8.5,6.7,,,,,,std units,deg C
USGS-433350112560601,43.5638,-112.9358472,03N 30E 30BBB1               USGS 51,,,,,,8.0,13.1,,,,,,std units,deg C
USGS-433354112554701,43.5649972,-112.930836,03N 30E 30BAB1               USGS 59,,,,,,8.2,13.1,,,,,,std units,deg C
USGS-433401112551001,43.5668333,-112.9203694,03N 30E 19DDC2               USGS 82,,,,,,8.1,12.0,,,,,,std units,deg C
USGS-433401112560301,43.5667472,-112.9348639,03N 30E 19CCC1               USGS 48,,,,,,7.7,12.5,,,,,,std units,deg C
USGS-433404112561301,43.56733889,-112.9374222,03N 29E 24DDA2               USGS 42,,,,,,7.8,11.8,,,,,,std units,deg C
USGS-433407112561501,43.56839167,-112.9382417,03N 29E 24DDA3               USGS 46,,,,,,8.3,12.1,,,,,,std units,deg C
USGS-433409112562101,43.56896389,-112.9400389,03N 29E 24DDB1               USGS 44,,,,,,8.3,14.7,,,,,,std units,deg C
USGS-433409112570515,43.56920556,-112.952325,03N 29E 24CCA1 MIDDLE 2050A PORT15 ZONE15 516.8FT,,,,,,,,,,,,,,
USGS-433425112573201,43.57360278,-112.9598056,03N 29E 23ADC1               USGS 76,,,,,,9.4,12.6,,,,,,std units,deg C
USGS-433433112560201,43.5758333,-112.9347222,03N 30E 19BCB1               CPP 1,,,,,,7.4,12.0,,,,,,std units,deg C
USGS-433446112570701,43.57935,-112.9522194,03N 29E 24BBA1               USGS 62,,,,,,7.8,16.7,,,,,,std units,deg C
USGS-433447112574501,43.5795861,-112.9639222,03N 29E 23ABB1               USGS 65,,,,,,8.1,13.5,,,,,,std units,deg C
USGS-433453112571601,43.58129444,-112.9549972,03N 29E 13CCC1               USGS 61,,,,,,8.0,15.0,,,,,,std units,deg C
USGS-433459112572601,43.5829611,-112.9580528,03N 29E 14DDA5               CWP 1,,,,,,7.8,9.8,,,,,,std units,deg C
USGS-433500112572502,43.58329167,-112.9577944,03N 29E 14DDA2               USGS 58,,,,,,7.9,13.4,,,,,,std units,deg C
USGS-433500112573001,43.58323889,-112.9591639,03N 29E 14DDB3               CWP 8,,,,,,8.2,12.1,,,,,,std units,deg C
USGS-433503112400701,43.5839972,-112.6693417,03N 32E 14CDD1              USGS 100,,,,,,8.1,3.0,,,,,,std units,deg C
USGS-433504112571001,43.58435,-112.9536083,03N 29E 13CBC1               USGS 70,,,,,,7.8,14.1,,,,,,std units,deg C
USGS-433505112581901,43.58476389,-112.9728056,03N 29E 14CBD1               USGS 79,,,,,,7.9,12.6,,,,,,std units,deg C
USGS-433508112573001,43.58555556,-112.9588889,03N 29E 14DAB1               USGS 55,,,,,,7.8,15.4,,,,,,std units,deg C
USGS-433516112573901,43.5876833,-112.9619417,03N 29E 14ACD2               USGS 68,,,,,,7.4,14.2,,,,,,std units,deg C
USGS-433519112574601,43.58851667,-112.963886,03N 29E 14ACC1               USGS 72,,,,,,7.9,13.9,,,,,,std units,deg C
USGS-433520112572601,43.58881667,-112.9589417,03N 29E 14ADD1               MTR TEST,,,,,,8.0,12.9,,,,,,std units,deg C
USGS-433524112390801,43.589925,-112.6523,03N 32E 13CAB1 USGS 149 PORT1 ZONE1 940.25FT,,,,,,,,,,,,,,
USGS-433524112390804,43.589925,-112.6523,03N 32E 13CAB1 USGS 149 PORT4 ZONE3 895.54FT,,,,,,,,,,,,,,
USGS-433524112390807,43.589925,-112.6523,03N 32E 13CAB1 USGS 149 PORT7 ZONE5 808.18FT,,,,,,,,,,,,,,
USGS-433524112390811,43.589925,-112.6523,03N 32E 13CAB1 USGS 149 PORT11 ZONE8 724.06FT,,,,,,,,,,,,,,
USGS-433543112493801,43.59511667,-112.8279528,03N 30E 12CDD1               USGS 5,,,,,,7.8,14.5,,,,,,std units,deg C
USGS-433605112554312,43.60141944,-112.9296472,03N 30E 07CAB1 USGS 133 PORT12 ZONE10 469.1FT,,,,,,,,,,,,,,
USGS-433617112542001,43.605,-112.9063889,03N 30E 08BDA1               SITE 4,,,,,,8.0,12.8,,,,,,std units,deg C
USGS-433657112563601,43.61573889,-112.9441639,03N 29E 01DBB1               USGS 98,,,,,,7.9,12.3,,,,,,std units,deg C
USGS-433705112552101,43.6176111,-112.923375,03N 30E 06ACD1               USGS 99,,,,,,7.9,11.1,,,,,,std units,deg C
USGS-433716112563601,43.6206111,-112.9452472,03N 29E 01ABC1               WS INEL 1,,,,,,8.0,11.7,,,,,,std units,deg C
USGS-433736112341301,43.6264972,-112.571036,03N 33E 03BAA1               USGS 143,,,,,,8.1,5.2,,,,,,std units,deg C
USGS-433807112551501,43.63511944,-112.9221528,04N 30E 31ABD1               USGS 97,,,,,,7.9,11.2,,,,,,std units,deg C
USGS-433826112510701,43.64040278,-112.852625,04N 30E 26CCA1               SITE 6,,,,,,8.1,14.9,,,,,,std units,deg C
USGS-433840112550201,43.64326944,-112.9177222,04N 30E 30DAB1               NRF 9,,,,,,7.7,13.2,,,,,,std units,deg C
USGS-433841112545201,43.6437861,-112.9142444,04N 30E 29CBB1               NRF 10,,,,,,8.1,11.9,,,,,,std units,deg C
USGS-433843112550901,43.644775,-112.920625,04N 30E 30ADC1               NRF 8,,,,,,7.9,11.9,,,,,,std units,deg C
USGS-433847112544201,43.6452972,-112.9117333,04N 30E 29BCD1               NRF 11,,,,,,7.7,13.3,,,,,,std units,deg C
